               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11125,            0.015765,            0.076303,            0.008314,             0.42045,            0.059901,           0.0085836,            0.081108,            0.010782,            0.062532,              0.0982,              0.0002,              0.0002
                   1,             0.11147,            0.014023,            0.077954,           0.0076937,             0.46023,            0.091034,            0.013319,            0.077771,            0.011368,             0.06158,            0.095499,          0.00049901,          0.00049901
                   2,             0.10379,            0.019189,            0.073148,             0.01306,             0.60511,            0.084983,            0.014685,            0.072754,            0.012396,            0.059835,            0.092797,          0.00079683,          0.00079683
                   3,            0.098366,            0.019935,            0.070199,            0.015359,              0.6875,             0.07122,            0.012069,            0.067024,             0.01365,            0.057346,            0.090093,           0.0010935,           0.0010935
                   4,            0.089784,            0.022622,            0.066496,            0.014219,             0.75568,            0.076687,             0.01038,            0.063357,            0.014375,            0.054401,            0.087389,           0.0013889,           0.0013889
                   5,            0.086285,            0.020479,            0.062564,            0.013962,             0.87784,            0.047736,           0.0091109,            0.060457,            0.014849,            0.052065,            0.084683,           0.0016832,           0.0016832
                   6,            0.079585,            0.025724,            0.061242,            0.012568,              0.9233,            0.032382,           0.0077459,            0.058441,            0.015121,            0.049989,            0.081976,           0.0019762,           0.0019762
                   7,            0.075453,            0.023836,            0.057371,            0.011925,              0.9233,            0.051273,            0.010117,            0.056685,            0.015372,            0.048917,            0.079268,           0.0022681,           0.0022681
                   8,            0.076012,            0.025702,            0.055688,            0.010338,             0.97727,            0.043009,            0.011209,            0.054811,            0.015257,            0.045165,            0.076559,           0.0025588,           0.0025588
                   9,            0.072444,             0.02637,            0.051021,           0.0091856,                   1,            0.070731,            0.018694,            0.057246,            0.014281,             0.04202,            0.073848,           0.0028483,           0.0028483
                  10,              0.0699,            0.024945,            0.048264,            0.008701,                   1,             0.11023,            0.029869,            0.052868,            0.014007,            0.036666,            0.071137,           0.0031366,           0.0031366
                  11,            0.070887,            0.024253,            0.046236,           0.0082362,                   1,             0.13518,            0.035149,            0.054551,            0.013118,            0.033912,            0.068424,           0.0034238,           0.0034238
                  12,            0.068229,            0.022661,            0.041972,            0.037196,             0.57772,            0.042163,            0.014378,            0.060032,            0.011815,            0.031039,             0.06571,           0.0037097,           0.0037097
                  13,            0.064988,             0.02051,            0.039557,             0.20076,             0.87784,              0.2374,            0.052131,            0.048598,              0.0127,            0.031251,            0.062994,           0.0039945,           0.0039945
                  14,            0.067434,            0.022038,            0.038843,             0.23028,              0.7983,             0.38197,               0.109,            0.054948,            0.012111,            0.032572,            0.060278,            0.004278,            0.004278
                  15,            0.070492,            0.018853,            0.036411,            0.062682,               0.875,            0.070254,            0.031543,            0.063521,            0.012379,            0.033758,             0.05756,           0.0045604,           0.0045604
                  16,             0.06261,            0.019407,            0.035343,             0.22054,             0.34659,             0.24437,            0.046858,            0.062627,            0.013698,             0.03419,            0.054842,           0.0048416,           0.0048416
                  17,            0.065143,            0.018028,             0.03432,             0.51004,             0.80682,             0.57724,             0.18796,             0.05715,            0.014652,            0.034663,            0.052122,           0.0051216,           0.0051216
                  18,            0.065098,            0.018258,             0.03263,              0.1142,             0.83807,             0.12259,            0.052302,            0.067131,            0.014163,            0.035333,              0.0494,           0.0054004,           0.0054004
                  19,            0.072297,            0.015416,            0.033739,             0.47262,             0.81253,             0.56452,             0.21243,            0.057393,            0.014391,            0.034032,            0.046678,            0.005678,            0.005678
                  20,            0.064269,            0.018767,             0.03238,             0.39945,             0.76136,             0.48267,             0.14282,            0.066352,             0.01478,            0.033581,            0.043954,           0.0059545,           0.0059545
                  21,            0.070032,            0.016454,            0.032171,             0.42222,             0.85227,             0.62363,             0.27446,            0.048731,            0.014882,            0.032403,             0.04123,           0.0062297,           0.0062297
                  22,            0.057281,            0.017894,            0.029552,              0.4022,             0.85227,             0.65304,             0.24296,            0.070172,            0.015012,            0.031577,            0.038504,           0.0065038,           0.0065038
                  23,            0.074879,            0.015205,              0.0336,              0.1549,             0.80595,             0.19783,            0.041543,            0.062782,            0.015258,            0.030783,            0.035777,           0.0067767,           0.0067767
                  24,            0.071648,            0.016268,            0.030841,             0.24887,             0.59659,             0.24491,            0.075926,            0.057439,            0.014144,            0.029754,            0.033048,           0.0070484,           0.0070484
                  25,            0.067618,            0.017641,            0.031046,             0.56909,             0.13636,            0.081171,            0.024657,            0.070175,             0.01402,            0.029479,            0.030319,           0.0073188,           0.0073188
                  26,            0.079205,            0.013809,            0.033152,             0.16988,             0.61932,             0.36421,            0.088167,            0.053955,             0.01357,             0.02864,            0.027588,           0.0075882,           0.0075882
                  27,            0.057022,            0.019113,            0.032897,             0.62254,             0.38636,             0.18736,            0.070214,            0.064438,             0.01332,            0.029305,            0.024856,           0.0078563,           0.0078563
                  28,            0.072377,            0.016612,            0.031013,             0.62254,             0.38636,             0.18736,            0.070214,            0.064438,             0.01332,            0.029305,            0.022123,           0.0081232,           0.0081232
                  29,            0.069594,            0.016401,            0.031719,             0.63517,             0.36364,             0.20854,            0.071033,            0.056851,            0.012989,            0.028526,            0.019389,            0.008389,            0.008389
                  30,              0.0666,            0.015227,            0.030563,             0.71349,             0.36364,             0.39708,             0.12143,            0.053179,            0.012157,            0.027843,            0.016654,           0.0086535,           0.0086535
                  31,            0.066099,            0.015117,            0.032338,               0.712,             0.31818,             0.28871,            0.079883,            0.057697,            0.011124,            0.026427,            0.013917,           0.0089169,           0.0089169
                  32,            0.070402,             0.01702,            0.031798,               0.712,             0.31818,             0.28871,            0.079883,            0.057697,            0.011124,            0.026427,            0.011179,           0.0091791,           0.0091791
                  33,            0.068602,            0.014741,            0.031083,             0.14915,             0.74432,             0.23895,            0.076821,            0.054566,            0.010812,            0.026158,           0.0093466,           0.0093466,           0.0093466
                  34,            0.070088,            0.015681,             0.03111,             0.72382,             0.27273,              0.2927,             0.13122,            0.055957,            0.010557,            0.026215,           0.0093466,           0.0093466,           0.0093466
                  35,            0.067785,            0.015081,            0.031263,             0.17378,             0.58807,             0.28346,            0.079425,            0.050042,            0.010843,            0.026402,           0.0093268,           0.0093268,           0.0093268
                  36,            0.063306,            0.017722,            0.031834,             0.17378,             0.58807,             0.28346,            0.079425,            0.050042,            0.010843,            0.026402,            0.009307,            0.009307,            0.009307
                  37,            0.057114,            0.016575,            0.030135,             0.19691,             0.52557,             0.27575,             0.12341,            0.047797,            0.010743,            0.025644,           0.0092872,           0.0092872,           0.0092872
                  38,            0.059483,            0.016276,            0.030706,             0.13599,             0.57955,              0.2751,             0.12079,            0.053884,            0.010148,            0.025569,           0.0092674,           0.0092674,           0.0092674
                  39,            0.067549,            0.015406,            0.029448,             0.13612,             0.74432,             0.23629,            0.061683,             0.05377,           0.0099915,            0.025063,           0.0092476,           0.0092476,           0.0092476
                  40,            0.058793,            0.016018,            0.028844,             0.13612,             0.74432,             0.23629,            0.061683,             0.05377,           0.0099915,            0.025063,           0.0092278,           0.0092278,           0.0092278
                  41,            0.055535,            0.014248,            0.026486,             0.17362,             0.74432,             0.31222,             0.12567,            0.043122,            0.010153,            0.024406,            0.009208,            0.009208,            0.009208
                  42,            0.059539,            0.015792,              0.0278,             0.19468,             0.80682,             0.41654,             0.16183,            0.053529,           0.0096496,            0.023883,           0.0091882,           0.0091882,           0.0091882
                  43,            0.067455,            0.014865,            0.029587,            0.099769,             0.78409,             0.15034,            0.031463,            0.065768,           0.0089201,            0.023254,           0.0091684,           0.0091684,           0.0091684
                  44,            0.074971,            0.013721,            0.029344,            0.099769,             0.78409,             0.15034,            0.031463,            0.065768,           0.0089201,            0.023254,           0.0091486,           0.0091486,           0.0091486
